ninhada	especies
2	verde
3	verde
4	verde
4	verde
4	verde
4	verde
4	verde
4	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
7	verde
7	verde
7	verde
7	verde
7	verde
7	verde
8	verde
3	manchado
3	manchado
4	manchado
4	manchado
4	manchado
4	manchado
4	manchado
4	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
5	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
6	manchado
7	manchado
7	manchado
7	manchado
7	manchado
7	manchado
9	manchado


